run_name,alpha,eligible,rows,threshold,accuracy,precision,recall,f1,mcc,auroc,auprc,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,alerts,alerts_per_10000_events,mode,labels_used,selected
alpha0.675,0.675,True,9050126,8.58197214680731,0.9314690204313177,0.8174701997495247,0.9954468255047989,0.8977224042245201,0.8562279085237505,0.9568135124631385,0.8347611616335551,0.09622959670792318,0.004553174495201063,2721906,5708006,607764,12450,3329670,3679.1421467502223,retrospective_recall_floor,True,False
alpha0.700,0.7000000000000001,True,9050126,8.502520801048611,0.9314625011850663,0.817455714864483,0.9954468255047989,0.8977136699106295,0.856215843114852,0.9568072526856166,0.8347568154168619,0.09623893840339341,0.004553174495201063,2721906,5707947,607823,12450,3329729,3679.2073392127354,retrospective_recall_floor,True,False
alpha0.725,0.7250000000000001,True,9050126,8.423069455289912,0.9314413965065238,0.8174088266384778,0.9954468255047989,0.8976853955855572,0.8561767856762391,0.9567908694559271,0.8347444339094637,0.0962691801633055,0.004553174495201063,2721906,5707756,608014,12450,3329920,3679.4183859981617,retrospective_recall_floor,True,False
alpha0.750,0.75,True,9050126,8.343618109531215,0.9314315623892971,0.8173869800351891,0.9954468255047989,0.8976722212465773,0.8561585870585909,0.9567628682466975,0.8347146896888967,0.09628327187342162,0.004553174495201063,2721906,5707667,608103,12450,3330009,3679.516727170428,retrospective_recall_floor,True,False
alpha0.775,0.775,True,9050126,8.264166763772517,0.9314234962032573,0.8173690617828631,0.9954468255047989,0.897661415616748,0.8561436605399555,0.9567426888199506,0.834694499735835,0.09629483024239324,0.004553174495201063,2721906,5707594,608176,12450,3330082,3679.597389030827,retrospective_recall_floor,True,False
alpha0.800,0.8,True,9050126,8.184715418013818,0.9313879165881226,0.8172900344823031,0.9954468255047989,0.8976137555319584,0.8560778249835086,0.9567219581747581,0.8346793706839304,0.09634581373292568,0.004553174495201063,2721906,5707272,608498,12450,3330404,3679.953185182173,retrospective_recall_floor,True,False
alpha0.825,0.8250000000000001,True,9050126,8.10526407225512,0.9313568672966542,0.817221082149768,0.9954468255047989,0.8975721681024085,0.8560203784806723,0.956704083030038,0.8346650171706073,0.09639030553677541,0.004553174495201063,2721906,5706991,608779,12450,3330685,3680.2636780968573,retrospective_recall_floor,True,False
alpha0.850,0.8500000000000001,True,9050126,8.02581272649642,0.9313507900331995,0.8172075875030774,0.9954468255047989,0.8975640286650038,0.8560091351864532,0.9566816324030787,0.8346441142065082,0.09639901389695951,0.004553174495201063,2721906,5706936,608834,12450,3330740,3680.3244507314043,retrospective_recall_floor,True,False
alpha0.875,0.875,True,9050126,7.946361380737722,0.9313462597095333,0.8171975281473024,0.9954468255047989,0.8975579611804316,0.8560007539671712,0.9566541088729437,0.8346229440851364,0.09640550558364222,0.004553174495201063,2721906,5706895,608875,12450,3330781,3680.369753968066,retrospective_recall_floor,True,False
alpha0.900,0.9,True,9050126,7.866910034979023,0.9313230556127063,0.817146008500173,0.9954468255047989,0.8975268851064909,0.8559578277191883,0.9566110610830589,0.8345960985625716,0.09643875568616336,0.004553174495201063,2721906,5706685,609085,12450,3330991,3680.601794936336,retrospective_recall_floor,True,False
